product_id,name,category,unit_price
1,Sharable 24hour website,Electronics,127.08
2,Cross-group client-server leverage,Electronics,282.88
3,Right-sized intermediate array,Books,135.06
4,Cloned empowering definition,Clothing,294.37
5,Multi-layered attitude-oriented portal,Clothing,449.42
6,Automated uniform info-mediaries,Clothing,202.7
7,Open-architected reciprocal projection,Electronics,113.56
8,Programmable executive structure,Sports,498.78
9,Right-sized analyzing time-frame,Electronics,257.22
10,Enhanced scalable methodology,Sports,50.0
11,Organic 24/7 customer loyalty,Home,28.32
12,Switchable multi-state forecast,Electronics,59.28
13,Ergonomic 5thgeneration toolset,Electronics,315.59
14,Right-sized multimedia model,Electronics,397.08
15,Total discrete pricing structure,Clothing,213.97
16,Down-sized systematic alliance,Clothing,36.45
17,Multi-lateral disintermediate projection,Sports,193.9
18,Adaptive cohesive array,Sports,498.08
19,Grass-roots zero-defect initiative,Electronics,266.91
20,Multi-channeled static infrastructure,Sports,485.68
21,Open-architected optimizing customer loyalty,Clothing,431.09
22,Programmable 24/7 support,Sports,10.68
23,Triple-buffered asymmetric array,Home,361.76
24,Reactive executive success,Clothing,342.45
25,Realigned optimal hardware,Home,270.8
26,Monitored even-keeled definition,Sports,137.08
27,Robust content-based knowledgebase,Books,322.28
28,Open-architected object-oriented ability,Electronics,60.22
29,Fundamental context-sensitive installation,Clothing,220.21
30,Profit-focused bi-directional open architecture,Home,229.59
31,Compatible motivating frame,Books,477.14
32,Mandatory bifurcated website,Books,438.55
33,Profound eco-centric monitoring,Clothing,135.38
34,Re-engineered eco-centric solution,Clothing,252.79
35,Organic homogeneous open system,Books,93.43
36,Polarized zero administration encryption,Electronics,456.75
37,Versatile global time-frame,Electronics,435.91
38,Persevering systemic knowledgebase,Home,152.73
39,Reverse-engineered 4thgeneration matrices,Electronics,321.28
40,Customizable empowering architecture,Books,306.44
41,Multi-tiered scalable toolset,Books,80.66
42,Face-to-face systematic standardization,Sports,382.44
43,Focused foreground installation,Books,271.99
44,Multi-channeled multi-state monitoring,Electronics,390.42
45,Advanced tangible firmware,Home,267.53
46,Fully-configurable executive array,Sports,5.28
47,Open-architected systematic synergy,Electronics,165.46
48,Mandatory asynchronous neural-net,Home,14.64
49,Enhanced methodical functionalities,Electronics,464.9
50,Multi-channeled didactic orchestration,Sports,439.97
51,Future-proofed contextually-based synergy,Books,416.67
52,Synergized content-based methodology,Sports,157.22
53,User-centric dedicated encoding,Books,33.67
54,User-centric disintermediate firmware,Sports,439.61
55,Expanded discrete customer loyalty,Clothing,473.74
56,Fully-configurable regional help-desk,Electronics,47.4
57,Distributed zero-defect benchmark,Electronics,245.57
58,Decentralized attitude-oriented service-desk,Clothing,39.26
59,Switchable modular pricing structure,Books,381.5
60,Adaptive well-modulated moratorium,Electronics,384.09
61,Balanced mission-critical hub,Clothing,68.55
62,Secured foreground methodology,Electronics,240.26
63,Re-engineered even-keeled matrix,Home,277.15
64,Enterprise-wide well-modulated migration,Books,136.2
65,Grass-roots hybrid definition,Home,436.85
66,Versatile object-oriented capacity,Books,214.45
67,Business-focused multi-tasking website,Clothing,109.84
68,Optimized mission-critical moratorium,Books,271.95
69,Automated motivating hardware,Books,366.32
70,Object-based systemic time-frame,Clothing,104.57
71,Enhanced logistical capability,Books,159.3
72,Total multi-state knowledgebase,Electronics,497.6
73,Intuitive system-worthy access,Sports,326.69
74,Advanced systematic database,Clothing,221.86
75,Multi-tiered optimal attitude,Sports,261.2
76,Inverse high-level pricing structure,Clothing,64.9
77,Fundamental contextually-based neural-net,Clothing,116.23
78,Fundamental disintermediate flexibility,Home,172.35
79,Phased reciprocal Graphical User Interface,Home,296.21
80,Multi-lateral contextually-based methodology,Books,118.91
81,Optimized demand-driven instruction set,Sports,114.01
82,Total web-enabled hub,Clothing,40.14
83,Multi-lateral impactful focus group,Books,317.4
84,Organized contextually-based orchestration,Electronics,118.33
85,De-engineered object-oriented software,Clothing,453.18
86,Focused bandwidth-monitored success,Electronics,430.52
87,Future-proofed disintermediate open architecture,Books,40.07
88,Optional homogeneous customer loyalty,Home,122.81
89,Digitized user-facing collaboration,Books,336.14
90,Phased 24/7 conglomeration,Electronics,111.05
91,Operative modular challenge,Clothing,70.49
92,Self-enabling multi-state monitoring,Sports,468.08
93,Up-sized foreground toolset,Books,287.67
94,Pre-emptive exuding extranet,Clothing,238.97
95,Realigned non-volatile application,Home,393.39
96,Object-based bandwidth-monitored solution,Home,404.71
97,Diverse analyzing data-warehouse,Home,99.25
98,Function-based methodical product,Clothing,52.98
99,Cross-platform local synergy,Books,218.37
100,Managed empowering hierarchy,Clothing,214.67
